uData	0x67c020
D3DTOP_PREMODULATE	0x11eb60
D3DTOP_BLENDCURRENTALPHA	0x11eb60
D3DTOP_BLENDTEXTUREALPHAPM	0x11eb60
D3DTOP_BLENDFACTORALPHA	0x11eb60
D3DTOP_BLENDTEXTUREALPHA	0x11eb60
D3DTOP_BLENDDIFFUSEALPHA	0x11eb60
D3DTOP_ADDSMOOTH	0x11eb60
D3DTOP_SUBTRACT	0x11eb60
D3DTOP_ADDSIGNED2X	0x11eb60
D3DTOP_ADDSIGNED	0x11eb60
D3DTOP_ADD	0x11eb60
D3DTOP_MODULATE4X	0x11eb60
D3DTOP_MODULATE2X	0x11eb60
D3DTOP_MODULATE	0x11eb60
D3DTOP_SELECTARG2	0x11eb60
D3DTOP_SELECTARG1	0x11eb60
D3DTOP_DISABLE	0x11eb60
D3DTA_COMPLEMENT	0x11ec90
D3DTA_ALPHAREPLICATE	0x11ec90
D3DTA_TFACTOR	0x11ec90
D3DTA_TEXTURE	0x11ec90
D3DTA_TEMP	0x11ec90
D3DTA_SPECULAR	0x11ec90
D3DTA_SELECTMASK	0x11ec90
D3DTA_DIFFUSE	0x11ec90
D3DTA_CURRENT	0x11ec90
D3DTTFF_PROJECTED	0x11edc0
D3DTTFF_COUNT4	0x11edc0
D3DTTFF_COUNT3	0x11edc0
D3DTTFF_COUNT2	0x11edc0
D3DTTFF_COUNT1	0x11edc0
D3DTTFF_DISABLE	0x11edc0
D3DZB_FALSE	0x11ee20
D3DZB_TRUE	0x11ee20
D3DZB_USEW	0x11ee20
D3DFILL_POINT	0x11ee50
D3DFILL_WIREFRAME	0x11ee50
D3DFILL_SOLID	0x11ee50
D3DSHADE_FLAT	0x11ee80
D3DSHADE_GOURAUD	0x11ee80
D3DSHADE_PHONG	0x11ee80
D3DBLEND_BOTHINVSRCALPHA	0x11eeb0
D3DBLEND_BOTHSRCALPHA	0x11eeb0
D3DBLEND_SRCALPHASAT	0x11eeb0
D3DBLEND_INVDESTCOLOR	0x11eeb0
D3DBLEND_DESTCOLOR	0x11eeb0
D3DBLEND_INVDESTALPHA	0x11eeb0
D3DBLEND_DESTALPHA	0x11eeb0
D3DBLEND_INVSRCALPHA	0x11eeb0
D3DBLEND_SRCALPHA	0x11eeb0
D3DBLEND_INVSRCCOLOR	0x11eeb0
D3DBLEND_SRCCOLOR	0x11eeb0
D3DBLEND_ONE	0x11eeb0
D3DBLEND_ZERO	0x11eeb0
D3DCULL_NONE	0x11ef50
D3DCULL_CW	0x11ef50
D3DCULL_CCW	0x11ef50
D3DCMP_ALWAYS	0x11ef80
D3DCMP_GREATEREQUAL	0x11ef80
D3DCMP_NOTEQUAL	0x11ef80
D3DCMP_GREATER	0x11ef80
D3DCMP_LESSEQUAL	0x11ef80
D3DCMP_EQUAL	0x11ef80
D3DCMP_LESS	0x11ef80
D3DCMP_NEVER	0x11ef80
D3DFOG_LINEAR	0x11eff0
D3DFOG_EXP2	0x11eff0
D3DFOG_EXP	0x11eff0
D3DFOG_NONE	0x11eff0
D3DSTENCILOP_DECR	0x11f030
D3DSTENCILOP_INCR	0x11f030
D3DSTENCILOP_INVERT	0x11f030
D3DSTENCILOP_DECRSAT	0x11f030
